node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
1,1,7.001554111,-81.1144968943,-27.8294840475,32.0639631315,30
1,2,9.001554116,-81.6328646581,-25.6604517371,12.1819258466,30
25,3,11.401554114,-81.4664805487,-23.0576129732,-11.6765188157,30
25,4,13.401554104,-80.3410072535,-20.888580679,-31.5585559514,30
37,5,15.601554118,-81.8285550453,-18.5026451283,-53.4287970493,30
49,6,17.801554101,-79.9822073429,-16.1167096113,-75.2990378389,30
49,7,19.801554115,-81.6039984239,-13.9476772911,-95.1810752132,30
61,7,20.001554112,-81.2853718971,-13.7307740638,-97.1692789069,30
61,8,22.001554116,-81.6426340209,-11.5617417544,-117.051316182,30
73,8,22.201554107,-80.728988679,-11.3448385337,-119.039519816,30
73,9,24.201554106,-80.6329741068,-9.17580622977,-138.921557041,30
85,9,24.401554116,-81.6392944707,-8.95890298843,-140.909760864,30
85,10,26.401554104,-80.3678208582,-6.78987069642,-160.79179798,30
97,11,28.601554106,-80.6207874978,-4.40393515873,-182.662038958,30
98,11,28.618220786,-81.9786610066,-4.38585987506,-182.827722735,30
109,12,30.801554101,-80.0262257318,-2.01799962864,-204.532279867,30
109,13,32.80155411,-81.0570961175,0.00092592052977,-221.654445292,30
109,14,34.801554102,-80.171674887,0.00081273986327,-201.65444484,30
97,15,36.601554112,-81.2534988002,0.000737429965929,-183.654444714,30
98,15,36.618220779,-81.2505143882,0.000736958388141,-183.487778048,30
85,16,38.401554105,-80.520996141,0.000686499566027,-165.654445155,30
85,17,40.401554106,-80.5714316099,0.000580719836902,-145.654446382,30
73,18,42.201554112,-81.2625131007,0.000494090652899,-127.6544478,30
74,18,42.218220779,-81.2665222506,0.000493619069556,-127.487781149,30
61,19,44.001554102,-80.139536108,0.00044315965312,-109.654449974,30
61,20,46.001554111,-81.1216346573,0.000386568760546,-89.6544528167,30
49,21,47.801554114,-81.4381183307,0.000331720297636,-71.6544557717,30
50,21,47.818220781,-81.4487725856,0.000330777097617,-71.4877891366,30
37,22,49.6015541,-79.947244123,0.00022985469841,-53.6544596812,30
25,23,51.401554116,-81.7064228109,0.000148882914239,-35.654436305,30
26,23,51.418220783,-81.6910156361,0.000148411314229,-35.4877690608,30
37,23,51.601554117,-81.7815962226,0.000143223714205,-33.6544294046,30
13,24,53.201554116,-81.6742896499,9.79501141875e-05,-17.6543742914,30
25,24,53.401554117,-81.7660232947,9.22909141536e-05,-15.654367391,30
26,24,53.418220784,-81.7824864014,9.18193141436e-05,-15.4877001468,30
13,25,55.2015541,-79.9635487382,-2.17404008674e-06,2.34563678378,30
1,26,57.001554113,-81.4006223894,-9.44657985398e-05,20.345631294,30
2,26,57.01822078,-81.3912072923,-9.49374041049e-05,20.5122979056,30
2,30,65.018220779,-81.2789991137,29.9998812707,28.8248083914,30
3,30,65.034887445,-81.2742086517,29.9998820193,28.6581417911,30
14,31,67.21822077,-80.2253683192,29.9999800759,6.82481565055,30
14,32,69.218220776,-80.9601503546,30.0000698961,-13.1751784277,30
26,32,69.418220785,-81.8170230116,30.0000788779,-15.1751779897,30
27,32,69.43488745,-81.8001008251,30.0000796264,-15.3418445957,30
26,33,71.418220783,-81.6600385825,30.0001686966,-35.1751726895,30
27,33,71.434887449,-81.6749793645,30.0001694451,-35.3418393055,30
38,33,71.618220779,-81.2056020858,30.0001776785,-37.1751721215,30
38,34,73.618220769,-80.1017458115,30.0002674959,-57.1751676407,30
50,35,75.818220779,-81.2442785365,30.0003347806,-79.17516348,30
51,35,75.834887445,-81.2465337336,30.0003350574,-79.3418301117,30
62,36,78.018220767,-79.9777844243,30.0003802015,-101.175159768,30
62,37,80.018220782,-81.6008687811,30.0004700155,-121.175157462,30
74,37,80.218220781,-81.4688907167,30.0004789969,-123.175157206,30
75,37,80.234887447,-81.457749721,30.0004797453,-123.341823846,30
86,38,82.418220773,-80.6333471777,30.00057779,-145.175155233,30
86,39,84.418220772,-80.4635671919,30.0006676009,-165.175154046,30
98,40,86.61822078,-81.3808765267,30.0007663919,-187.175153497,30
99,40,86.634887446,-81.3899926105,30.0007671403,-187.341820152,30
110,40,86.818220785,-81.8503380013,30.0007753728,-189.175153543,30
110,41,88.818220767,-79.9395111767,30.0008651814,-209.175153735,30
110,42,90.818220781,-81.4406475547,40.9862538347,-219.869123229,30
111,43,92.834887444,-81.1313688376,60.0009156432,-222.148421402,30
111,44,94.834887435,-80.1349269094,60.0007926165,-202.148420956,30
99,45,96.634887445,-81.2640127682,60.0007070451,-184.148420804,30
100,45,96.651554112,-81.2601942514,60.0007064915,-183.981754137,30
87,46,98.434887439,-80.5791020205,60.0006472503,-166.148421231,30
87,47,100.434887438,-80.5136232066,60.0005808094,-146.14842245,30
75,48,102.234887445,-81.252320202,60.0005210116,-128.14842383,30
76,48,102.251554112,-81.2554762982,60.0005204579,-127.981757179,30
63,49,104.034887435,-80.1766513264,60.000461212,-110.148425997,30
63,50,106.034887443,-81.0475791354,60.0003947662,-90.1484288238,30
51,51,107.834887447,-81.4080516715,60.0003324465,-72.1484317451,30
52,51,107.851554114,-81.4179172132,60.0003314212,-71.98176511,30
39,52,109.634887433,-79.9597811582,60.0002217087,-54.1484356475,30
27,53,111.43488745,-81.7534886811,60.0001304654,-36.1484395649,30
28,53,111.451554117,-81.7374084278,60.0001299116,-35.9817729376,30
39,53,111.634887449,-81.6962574316,60.0001238202,-34.1484400873,30
15,54,113.23488745,-81.7593520843,60.0000706586,-18.1484441766,30
27,54,113.43488745,-81.7184494626,60.0000640134,-16.148444689,30
28,54,113.451554117,-81.7342769201,60.0000634596,-15.9817780617,30
15,55,115.234887433,-79.9501938905,60.0000042046,1.85154982947,30
3,56,117.034887447,-81.4300955695,59.999944395,19.851544376,30
4,56,117.051554114,-81.4198911552,59.9999438412,20.0182109876,30
4,60,125.051554112,-81.2948625158,89.999869404,29.319397148,30
5,60,125.068220779,-81.2892457204,89.9998702347,29.1527305377,30
16,61,127.251554103,-80.2685881378,89.9999790562,7.31935022801,30
16,62,129.251554109,-80.8900072654,90.0000656007,-12.6807006749,30
28,62,129.451554118,-81.8684355387,90.0000699094,-14.6807002373,30
29,62,129.468220785,-81.8509019544,90.0000702685,-14.8473668633,30
28,63,131.451554116,-81.6170558629,90.0001129961,-34.6806949412,30
29,63,131.468220783,-81.6313283082,90.0001133551,-34.8473615673,30
40,63,131.651554112,-81.2830286367,90.0001173047,-36.6806943736,30
40,64,133.651554101,-80.0707048065,90.0002131393,-56.6806898636,30
52,65,135.851554112,-81.2392870881,90.0003227801,-78.6806857039,30
53,65,135.868220779,-81.2406882961,90.0003236107,-78.8473523456,30
64,66,138.051554101,-79.9969738324,90.0004249406,-100.680681983,30
64,67,140.051554115,-81.5180263257,90.0004680159,-120.680679671,30
76,67,140.251554114,-81.5033887536,90.0004723234,-122.680679416,30
77,67,140.268220781,-81.4915172547,90.0004726824,-122.847346065,30
88,68,142.451554107,-80.6956651847,90.0005667948,-144.680677434,30
88,69,144.451554104,-80.4102546698,90.0006664568,-164.680676209,30
100,70,146.651554113,-81.3554588188,90.0007760821,-186.680675678,30
101,70,146.66822078,-81.3637569025,90.0007769126,-186.847342344,30
112,70,146.851554119,-81.9375343075,90.0007842297,-188.680675712,30
112,71,148.8515541,-79.9326484924,90.0008272937,-208.680675902,30
112,72,150.851554113,-81.3778679706,100.498645757,-219.787684171,30
113,73,152.868220779,-81.2072723235,120.000906979,-222.642544053,30
113,74,154.868220769,-80.1010387931,120.000830696,-202.642543613,30
101,75,156.668220779,-81.2770640684,120.00076204,-184.642543423,30
102,75,156.684887445,-81.2723794557,120.000761404,-184.475876767,30
89,76,158.468220773,-80.6394579692,120.000693381,-166.642543847,30
89,77,160.468220772,-80.4581480509,120.00061709,-146.642545039,30
77,78,162.268220779,-81.2446401095,120.000548426,-128.642546392,30
78,78,162.284887445,-81.2469370939,120.00054779,-128.475879751,30
65,79,164.06822077,-80.2165643576,120.000479758,-110.642548545,30
65,80,166.068220776,-80.9752395304,120.000403458,-90.6425513622,30
53,81,167.86822078,-81.3803026957,120.000333666,-72.6425542532,30
54,81,167.884887446,-81.3893868305,120.000332559,-72.475887628,30
41,82,169.668220767,-79.9754500321,120.000214057,-54.6425581384,30
29,83,171.468220784,-81.8024780561,120.000112543,-36.6425620254,30
30,83,171.48488745,-81.7857626935,120.000111907,-36.475895408,30
41,83,171.668220783,-81.6120534446,120.000104911,-34.642562547,30
17,84,173.268220785,-81.8454782516,120.000043862,-18.6425666199,30
29,84,173.468220783,-81.6728488498,120.000036231,-16.6425671515,30
30,84,173.484887449,-81.6880025524,120.000035595,-16.4759005342,30
17,85,175.268220767,-79.9399906104,119.999967546,1.35748068775,30
5,86,177.068220781,-81.4618524231,119.999898861,19.3575330202,30
6,86,177.084887447,-81.4509036985,119.999898225,19.5241996219,30
6,90,185.084887446,-81.313192784,149.999879271,29.8138391481,30
7,90,185.101554113,-81.3067375465,149.999879712,29.6471725377,30
18,91,187.284887436,-80.3144824448,149.999977556,7.81384645904,30
18,92,189.284887441,-80.8217173202,150.000075363,-12.1861475737,30
30,92,189.484887452,-81.9216817834,150.000080658,-14.1861471565,30
31,92,189.501554118,-81.9035253077,150.000081099,-14.3528137725,30
30,93,191.484887448,-81.576183179,150.000133604,-34.1861418444,30
31,93,191.501554115,-81.5897243394,150.000134045,-34.3528084705,30
42,93,191.684887446,-81.361939236,150.000138899,-36.1861412972,30
42,94,193.684887434,-80.0426211916,150.000243193,-56.1861367615,30
54,95,195.884887445,-81.2368274417,150.000334961,-78.1861325875,30
55,95,195.901554112,-81.2373669998,150.000335402,-78.3527992292,30
66,96,198.084887434,-80.0192357191,150.000399267,-100.186128852,30
66,97,200.084887447,-81.4364583057,150.000508789,-120.186126538,30
78,97,200.284887448,-81.5401315338,150.000519741,-122.186126303,30
79,97,200.301554115,-81.5274945054,150.000520653,-122.352792953,30
78,98,202.284887452,-81.9726996842,150.000589223,-142.186124564,30
79,98,202.301554119,-81.9915807539,150.000589664,-142.352791222,30
90,98,202.48488744,-80.7600906046,150.000594516,-144.186124294,30
90,99,204.484887437,-80.3594112506,150.000664834,-164.18612305,30
102,100,206.684887446,-81.3324300818,150.000785293,-186.186122523,30
103,100,206.701554113,-81.3399060783,150.000786206,-186.352789189,30
114,101,208.884887433,-79.9289615117,150.000848735,-208.186122732,30
114,102,210.884887437,-80.3935195285,157.796978579,-211.54103111,30
103,103,212.701554119,-81.9540580721,171.752948328,-199.910968059,30
115,103,212.901554107,-80.7189193761,173.28938526,-198.630594233,30
103,104,214.701554112,-81.2558257342,180.000726771,-183.774026313,30
104,104,214.718220779,-81.2526435894,180.000726053,-183.607359646,30
91,105,216.501554105,-80.5349278465,180.000649248,-165.77402674,30
91,106,218.501554106,-80.5571502422,180.000563106,-145.774027941,30
79,107,220.301554112,-81.2597978237,180.000485575,-127.774029334,30
80,107,220.318220779,-81.263598852,180.000484857,-127.607362683,30
67,108,222.101554102,-80.148309245,180.000408039,-109.774031486,30
67,109,224.101554111,-81.1034557457,180.000359415,-89.7740343053,30
55,110,225.901554114,-81.4305897454,180.00032923,-71.7740372496,30
56,110,225.918220781,-81.4410416285,180.000328512,-71.6073706143,30
43,111,227.7015541,-79.9500060703,180.000251681,-53.7740411374,30
31,112,229.501554117,-81.7177134469,180.00017413,-35.7740450595,30
32,112,229.518220783,-81.7021245472,180.000173412,-35.6073784421,30
43,112,229.701554117,-81.7607199952,180.000165513,-33.7740455707,30
19,113,231.301554116,-81.6949028702,180.000096576,-17.7740496704,30
31,113,231.501554117,-81.7542626711,180.000087959,-15.7740501716,30
32,113,231.518220784,-81.7705682022,180.000087241,-15.6073835442,30
19,114,233.3015541,-79.9600085533,180.000010399,2.22600084014,30
7,115,235.101554114,-81.4075816333,179.999932838,20.2260499283,30
8,115,235.11822078,-81.3979676848,179.99993212,20.3927165301,30
8,119,243.118220779,-81.282631689,209.99987212,28.9458186396,30
9,119,243.134887445,-81.2776389116,209.999872644,28.7791514222,30
20,120,245.31822077,-80.2356403772,209.999983711,6.94580003826,30
20,121,247.318220776,-80.942904502,210.000088922,-13.0541940572,30
32,121,247.518220785,-81.8293647862,210.000095203,-15.0541936212,30
